surface_profile,direction_mode,env,profile_seed,split,outcome,passes,quality_ok,safety_ok,included_in_bc,contact_steps,sensor_fault_steps,gu_final,ra_final_um,rz_final_um,scratch_final_um,clearcoat_min_um
factory_prepolish_deep_defect,same_xx,20,4784,train,success,1,True,True,True,2773,0,73.77242570104347,0.09420443102802221,1.0518402250197698,0.7802589551710618,41.90432594512845
factory_prepolish_deep_defect,same_xx,8,3620,train,success,1,True,True,True,2800,0,75.53734594107941,0.089925364495442,0.8136704813610827,0.6300975932332724,40.1816760420095
factory_prepolish_deep_defect,same_xx,21,4881,train,success,1,True,True,True,2845,0,73.54768278162031,0.08802779284759986,0.8678389774560715,0.6279500881503358,42.380137581125354
factory_prepolish_deep_defect,same_xx,19,4687,test,success,1,True,True,True,2925,0,74.98072085756435,0.09533176541547062,1.0210848685337415,0.5566395611835233,43.20527812938654
factory_prepolish_deep_defect,same_xx,18,4590,train,success,1,True,True,True,2986,0,71.0451566338531,0.0987369776300505,0.9839332333271755,0.6047514816237025,40.94814506227307
factory_prepolish_deep_defect,same_xx,9,3717,train,success,1,True,True,True,3000,0,75.62463716324311,0.09364404699245897,1.073474203753653,0.7875782060577431,41.48445490078353
factory_prepolish_deep_defect,same_xx,13,4105,train,success,1,True,True,True,3001,0,74.55674178507867,0.09797913558457555,1.073954499489536,0.6810500521290996,42.16442001068165
factory_prepolish_deep_defect,same_xx,0,2844,train,success,1,True,True,True,3011,0,75.49200371638067,0.08796406606381686,1.009560938716485,0.7448289698230948,43.01442898743181
factory_prepolish_deep_defect,same_xx,10,3814,test,success,1,True,True,True,3081,0,74.63012031421948,0.10133611337215527,0.8346636923423479,0.4416605109619419,42.59359563633205
factory_prepolish_deep_defect,same_xx,15,4299,train,success,1,True,True,True,3085,0,73.56046941813783,0.09961493227301141,1.1534639548231698,0.8198234563070156,41.247712513431885
factory_prepolish_deep_defect,same_xx,12,4008,train,success,1,True,True,True,3110,0,75.21608426150465,0.10553653131279125,1.2345178419480045,0.5657288016591246,43.82717524336006
factory_prepolish_deep_defect,same_xx,6,3426,validation,success,1,True,True,True,3123,0,74.38208344473748,0.1010176647265658,0.8767530106942114,0.39575949959362,43.581421359347665
factory_prepolish_deep_defect,same_xx,3,3135,validation,success,1,True,True,True,3125,0,73.46532437787168,0.09821392952670352,0.929913329900308,0.4499700911350628,41.590321445110014
factory_prepolish_deep_defect,same_xx,1,2941,train,success,1,True,True,True,3146,0,73.10506296402714,0.10275283418839062,1.0013281610391016,0.47415834904884147,44.175808215835794
factory_prepolish_deep_defect,same_xx,14,4202,test,success,1,True,True,True,3177,0,73.6956734417461,0.1057363030340001,1.1212719441532024,0.6882995194738609,42.08153726779721
factory_prepolish_deep_defect,same_xx,17,4493,validation,success,1,True,True,True,3213,0,74.36895146819451,0.10662068661614275,1.160693981200977,0.6209221108075829,41.302632550185045
factory_prepolish_deep_defect,same_xx,4,3232,train,success,1,True,True,True,3232,0,71.07728062445722,0.13005666320020304,1.261745153988693,0.6915055229525755,41.86547576000558
factory_prepolish_deep_defect,same_xx,5,3329,test,success,1,True,True,True,3272,0,72.42238944260967,0.08724294452067724,1.1060706981459592,0.7789647402090105,42.06266064951245
factory_prepolish_deep_defect,same_xx,2,3038,train,success,1,True,True,True,3287,0,72.35922227815992,0.08719671066807293,0.9943128437015605,0.6016120373655667,42.55134332940651
factory_prepolish_deep_defect,same_xx,11,3911,train,success,1,True,True,True,3329,0,72.94485403424119,0.10238145911705271,1.0429931042200067,0.5578000082026562,43.155454558216114
factory_prepolish_deep_defect,same_xx,7,3523,train,success,1,True,True,True,3355,0,74.18584655422599,0.136618302940641,1.1062309331006166,0.5978328152757302,42.23293192307666
factory_prepolish_deep_defect,same_xx,16,4396,train,success,1,True,True,True,3551,0,71.73766452878702,0.09401434656512611,1.241936994118767,0.7771746563362009,42.385797269989695
