cell_i,cell_j,x_m,y_m,status,recipe_id,local_gu,local_ra_um,local_rz_um,scratch_initial_um,scratch_residual_um,gu_pass,ra_pass,rz_pass,scratch_pass,all4_pass,clearcoat_pass,temperature_pass,reached,unsafe_geometry,validation_count,surface_revision,validated_revision,initially_pass_locked,rework_affected_ever,pass_count,cumulative_contact_time_s
0,0,0.001,0.001,NOT_REACHED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,False,False,1,0,0,False,False,0,0.0
0,1,0.001,0.003,NOT_REACHED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,False,False,1,0,0,False,False,0,0.0
0,2,0.001,0.005,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,3,0.001,0.007,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,4,0.001,0.009000000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,5,0.001,0.011,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,6,0.001,0.013000000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,7,0.001,0.015,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,8,0.001,0.017,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,9,0.001,0.019,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,10,0.001,0.021,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,11,0.001,0.023,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,12,0.001,0.025,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,13,0.001,0.027,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,14,0.001,0.029,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,15,0.001,0.031,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,16,0.001,0.033,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,17,0.001,0.035,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,18,0.001,0.037,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,19,0.001,0.039,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,20,0.001,0.041,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,21,0.001,0.043000000000000003,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,22,0.001,0.045,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,23,0.001,0.047,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,24,0.001,0.049,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,25,0.001,0.051000000000000004,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,26,0.001,0.053,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,27,0.001,0.055,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,28,0.001,0.057,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,29,0.001,0.059000000000000004,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,30,0.001,0.061,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,31,0.001,0.063,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,32,0.001,0.065,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,33,0.001,0.067,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,34,0.001,0.069,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,35,0.001,0.07100000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,36,0.001,0.073,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,37,0.001,0.075,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,38,0.001,0.077,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,39,0.001,0.079,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,40,0.001,0.081,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,41,0.001,0.083,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,42,0.001,0.085,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,43,0.001,0.08700000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,44,0.001,0.089,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,45,0.001,0.091,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,46,0.001,0.093,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,47,0.001,0.095,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,48,0.001,0.097,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,49,0.001,0.099,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,50,0.001,0.101,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,51,0.001,0.10300000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,52,0.001,0.105,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,53,0.001,0.107,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,54,0.001,0.109,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,55,0.001,0.111,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,56,0.001,0.113,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,57,0.001,0.115,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,58,0.001,0.117,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,59,0.001,0.11900000000000001,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,60,0.001,0.121,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,61,0.001,0.123,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
0,62,0.001,0.125,PASS_LOCKED,synthetic_contract_demo,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0
