cell_i,cell_j,x_m,y_m,status,recipe_id,local_gu,local_ra_um,local_rz_um,scratch_initial_um,scratch_residual_um,gu_pass,ra_pass,rz_pass,scratch_pass,all4_pass,clearcoat_pass,temperature_pass,reached,unsafe_geometry,validation_count,surface_revision,validated_revision,initially_pass_locked,rework_affected_ever,pass_count,cumulative_contact_time_s,surface_id,failure_reason_bitmask,failure_reasons,normal_x,normal_y,normal_z,k1_1_m,k2_1_m,curvature_radius_m,boundary_risk,geometry_risk,fit_confidence,surface_class,concave_excluded,planned_rework_footprint,actual_surface_changed,revalidated_after_rework
0,0,0.001,0.001,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,1,0.001,0.003,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,2,0.001,0.005,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,3,0.001,0.007,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,4,0.001,0.009000000000000001,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,5,0.001,0.011,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,6,0.001,0.013000000000000001,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,7,0.001,0.015,UNSAFE_GEOMETRY,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,1,0,0,False,False,0,0.0,synthetic_vehicle_patch,320,UNSAFE_GEOMETRY|CONCAVE_EXCLUDED,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.0,1.0,concave,True,False,False,False
0,8,0.001,0.017,PASS_LOCKED,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0,synthetic_vehicle_patch,0,NONE,0.0,0.0,1.0,0.0,0.0,inf,0.0,0.0,1.0,near_flat,False,False,False,False
0,9,0.001,0.019,PASS_LOCKED,coarse_C_SL_SR_deterministic_g3,78.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,False,1,0,0,True,False,0,0.0,synthetic_vehicle_patch,0,NONE,0.0,0.0,1.0,0.0,0.0,inf,0.0,0.0,1.0,near_flat,False,False,False,False
